"","ID","State","StateName","JobCode","JobName","TotalEmployment","AverageHourlySalary","AverageYearlySalary"
"22817","78","VI","Virgin Islands","53-3041","Taxi drivers and chauffeurs",50,9.94,20670
"22818","56","WY","Wyoming","27-1026","Merchandise displayers and window trimmers",50,9.98,20760
"22819","56","WY","Wyoming","51-3022","Meat, poultry, and fish cutters and trimmers",50,9.99,20770
"22820","02","AK","Alaska","29-1066","Psychiatrists",50,91.03,189350
"22821","20","KS","Kansas","29-1023","Orthodontists",50,98.61,205110
"22822","20","KS","Kansas","29-1022","Oral and maxillofacial surgeons",50,98.66,205210
"22823","48","TX","Texas","51-9193","Cooling and freezing equipment operators and tenders",500,10.07,20940
"22824","31","NE","Nebraska","51-9123","Painting, coating, and decorating workers",500,10.21,21240
"22825","53","WA","Washington","41-2012","Gaming change persons and booth cashiers",500,10.24,21290
"22826","10","DE","Delaware","53-3041","Taxi drivers and chauffeurs",500,10.29,21400
"22827","29","MO","Missouri","51-6041","Shoe and leather workers and repairers",500,10.7,22250
"22828","21","KY","Kentucky","33-3011","Bailiffs",500,10.77,22400
"22829","28","MS","Mississippi","27-3011","Radio and television announcers",500,10.93,22730
"22830","72","PR","Puerto Rico","27-4011","Audio and video equipment technicians",500,11.25,23400
"22831","56","WY","Wyoming","49-9098","Helpers--installation, maintenance, and repair workers",500,11.7,24330
"22832","18","IN","Indiana","41-2012","Gaming change persons and booth cashiers",500,11.71,24350
"22833","46","SD","South Dakota","51-7042","Woodworking machine setters, operators, and tenders, except sawing",500,11.72,24370
"22834","19","IA","Iowa","51-6099","Textile, apparel, and furnishings workers, all other",500,11.76,24460
"22835","08","CO","Colorado","19-3022","Survey researchers",500,11.87,24680
"22836","40","OK","Oklahoma","43-9071","Office machine operators, except computer",500,12.12,25210
"22837","05","AR","Arkansas","43-9022","Word processors and typists",500,12.13,25230
"22838","47","TN","Tennessee","51-9131","Photographic process workers",500,12.23,25440
"22839","22","LA","Louisiana","51-4021","Extruding and drawing machine setters, operators, and tenders, metal and plastic",500,12.26,25500
"22840","40","OK","Oklahoma","51-9195","Molders, shapers, and casters, except metal and plastic",500,12.29,25560
"22841","40","OK","Oklahoma","47-2044","Tile and marble setters",500,12.89,26820
"22842","12","FL","Florida","43-9081","Proofreaders and copy markers",500,12.96,26960
"22843","40","OK","Oklahoma","49-9011","Mechanical door repairers",500,13.02,27080
"22844","11","DC","District of Columbia","51-3011","Bakers",500,13.03,27100
"22845","21","KY","Kentucky","51-9192","Cleaning, washing, and metal pickling equipment operators and tenders",500,13.11,27260
"22846","31","NE","Nebraska","51-9195","Molders, shapers, and casters, except metal and plastic",500,13.25,27550
"22847","29","MO","Missouri","19-4093","Forest and conservation technicians",500,13.37,27800
"22848","05","AR","Arkansas","27-3022","Reporters and correspondents",500,13.42,27910
"22849","13","GA","Georgia","51-4035","Milling and planing machine setters, operators, and tenders, metal and plastic",500,13.42,27910
"22850","30","MT","Montana","43-4181","Reservation and transportation ticket agents and travel clerks",500,13.46,28000
"22851","27","MN","Minnesota","37-3012","Pesticide handlers, sprayers, and applicators, vegetation",500,13.49,28050
"22852","49","UT","Utah","51-4021","Extruding and drawing machine setters, operators, and tenders, metal and plastic",500,13.56,28200
"22853","16","ID","Idaho","31-9099","Healthcare support workers, all other",500,13.57,28220
"22854","26","MI","Michigan","39-3012","Gaming and sports book writers and runners",500,13.6,28290
"22855","40","OK","Oklahoma","51-5022","Prepress technicians and workers",500,13.7,28490
"22856","01","AL","Alabama","47-2044","Tile and marble setters",500,13.85,28810
"22857","31","NE","Nebraska","29-2041","Emergency medical technicians and paramedics",500,14.25,29650
"22858","04","AZ","Arizona","51-4072","Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",500,14.45,30050
"22859","53","WA","Washington","47-3016","Helpers--roofers",500,14.55,30270
"22860","06","CA","California","51-5012","Bookbinders",500,14.65,30480
"22861","25","MA","Massachusetts","53-7011","Conveyor operators and tenders",500,14.79,30760
"22862","49","UT","Utah","51-5021","Job printers",500,14.84,30870
"22863","55","WI","Wisconsin","49-3052","Motorcycle mechanics",500,15.06,31330
"22864","30","MT","Montana","43-4161","Human resources assistants, except payroll and timekeeping",500,15.25,31710
"22865","05","AR","Arkansas","41-9011","Demonstrators and product promoters",500,15.3,31820
"22866","42","PA","Pennsylvania","51-4062","Patternmakers, metal and plastic",500,15.34,31920
"22867","25","MA","Massachusetts","35-2019","Cooks, all other",500,15.5,32250
"22868","22","LA","Louisiana","51-9012","Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",500,15.84,32950
"22869","35","NM","New Mexico","49-2098","Security and fire alarm systems installers",500,15.96,33190
"22870","05","AR","Arkansas","51-9081","Dental laboratory technicians",500,16.41,34130
"22871","08","CO","Colorado","51-9011","Chemical equipment operators and tenders",500,16.59,34500
"22872","47","TN","Tennessee","31-9011","Massage therapists",500,16.59,34510
"22873","46","SD","South Dakota","25-4021","Librarians",500,16.65,34630
"22874","51","VA","Virginia","51-5021","Job printers",500,16.9,35150
"22875","48","TX","Texas","49-2021","Radio mechanics",500,17.01,35380
"22876","10","DE","Delaware","43-4161","Human resources assistants, except payroll and timekeeping",500,17.48,36360
"22877","11","DC","District of Columbia","41-3041","Travel agents",500,17.51,36430
"22878","21","KY","Kentucky","27-2012","Producers and directors",500,18.1,37650
"22879","22","LA","Louisiana","49-2092","Electric motor, power tool, and related repairers",500,18.12,37690
"22880","18","IN","Indiana","53-7199","Material moving workers, all other",500,18.35,38160
"22881","08","CO","Colorado","43-9031","Desktop publishers",500,18.73,38950
"22882","05","AR","Arkansas","11-9031","Education administrators, preschool and child care center/program",500,18.94,39390
"22883","01","AL","Alabama","51-8021","Stationary engineers and boiler operators",500,19.02,39550
"22884","55","WI","Wisconsin","49-9011","Mechanical door repairers",500,19.05,39630
"22885","25","MA","Massachusetts","49-9094","Locksmiths and safe repairers",500,19.12,39780
"22886","19","IA","Iowa","45-2011","Agricultural inspectors",500,19.16,39850
"22887","22","LA","Louisiana","49-3043","Rail car repairers",500,19.4,40350
"22888","01","AL","Alabama","19-4099","Life, physical, and social science technicians, all other",500,19.56,40690
"22889","01","AL","Alabama","11-9061","Funeral directors",500,19.75,41070
